Month,Electronic cigarette: (United Kingdom)
2010-01,8
2010-02,7
2010-03,5
2010-04,5
2010-05,5
2010-06,4
2010-07,5
2010-08,6
2010-09,6
2010-10,5
2010-11,5
2010-12,6
2011-01,10
2011-02,9
2011-03,11
2011-04,9
2011-05,10
2011-06,10
2011-07,11
2011-08,11
2011-09,12
2011-10,11
2011-11,12
2011-12,13
2012-01,18
2012-02,18
2012-03,21
2012-04,20
2012-05,19
2012-06,19
2012-07,22
2012-08,21
2012-09,22
2012-10,23
2012-11,22
2012-12,20
2013-01,35
2013-02,34
2013-03,36
2013-04,36
2013-05,36
2013-06,42
2013-07,35
2013-08,37
2013-09,39
2013-10,42
2013-11,36
2013-12,36
2014-01,53
2014-02,45
2014-03,43
2014-04,43
2014-05,43
2014-06,45
2014-07,39
2014-08,41
2014-09,40
2014-10,43
2014-11,43
2014-12,45
2015-01,59
2015-02,52
2015-03,50
2015-04,50
2015-05,49
2015-06,53
2015-07,51
2015-08,65
2015-09,71
2015-10,75
2015-11,64
2015-12,75
2016-01,82
2016-02,78
2016-03,72
2016-04,76
2016-05,90
2016-06,76
2016-07,76
2016-08,80
2016-09,79
2016-10,80
2016-11,73
2016-12,75
2017-01,86
2017-02,85
2017-03,87
2017-04,89
2017-05,100
2017-06,83
2017-07,87
2017-08,86
2017-09,84
2017-10,85
2017-11,81
2017-12,75
