Month,effects of smoking: (United Kingdom)
2010-01,63
2010-02,62
2010-03,89
2010-04,54
2010-05,51
2010-06,44
2010-07,27
2010-08,20
2010-09,45
2010-10,55
2010-11,79
2010-12,43
2011-01,100
2011-02,84
2011-03,81
2011-04,57
2011-05,62
2011-06,75
2011-07,46
2011-08,31
2011-09,51
2011-10,71
2011-11,91
2011-12,59
2012-01,87
2012-02,66
2012-03,65
2012-04,50
2012-05,55
2012-06,40
2012-07,29
2012-08,29
2012-09,39
2012-10,65
2012-11,51
2012-12,52
2013-01,64
2013-02,57
2013-03,63
2013-04,48
2013-05,44
2013-06,38
2013-07,30
2013-08,22
2013-09,47
2013-10,58
2013-11,67
2013-12,43
2014-01,69
2014-02,53
2014-03,60
2014-04,49
2014-05,40
2014-06,38
2014-07,29
2014-08,20
2014-09,43
2014-10,55
2014-11,47
2014-12,42
2015-01,59
2015-02,52
2015-03,54
2015-04,41
2015-05,42
2015-06,37
2015-07,24
2015-08,23
2015-09,44
2015-10,50
2015-11,53
2015-12,31
2016-01,36
2016-02,37
2016-03,33
2016-04,27
2016-05,36
2016-06,24
2016-07,18
2016-08,17
2016-09,29
2016-10,27
2016-11,34
2016-12,25
2017-01,38
2017-02,37
2017-03,38
2017-04,31
2017-05,30
2017-06,26
2017-07,16
2017-08,19
2017-09,25
2017-10,27
2017-11,31
2017-12,24
